Lines,Description
6136,2nd quarter AQI
6137,3rd quarter AQI
6138,4th quarter AQI
6139,1st quarter IEF CBP Special Collection Activities
6140,2nd quarter IEF CBP Special Collection Activities
6141,3rd quarter IEF CBP Special Collection Activities
6142,4th quarter IEF CBP Special Collection Activities
6143,1st quarter ESTA Collections
6144,2nd quarter ESTA Collections
6145,3rd quarter ESTA Collections
6146,4th quarter ESTA Collections
6147,1st quarter IUF Collections
6148,2nd quarter IUF Collections
6149,3rd quarter IUF Collections
6150,4th quarter IUF Collections
6151,1st quarter LBIF Collections
6152,2nd quarter LBIF Collections
6153,3rd quarter LBIF Collections
6154,4th quarter LBIF Collections
6155,1st quarter USPS funding
6156,2nd quarter USPS funding
6157,3rd quarter USPS funding
6158,4th quarter USPS funding
6170,Apportioned in FY 2023
6171,Apportioned in FY 2024
6172,Apportioned in FY 2025
6173,Apportioned in FY 2026
6180,Budgetary Resources: Withheld pending rescission
6181,Budgetary Resources: Deferred
6182,Budgetary Resources: Unappor Bal
6183,Budgetary resources: Exempt from apportionment
6190,Total budgetary resources
8100,Loan Levels Current Year
8200,"Program Level, Unused from prior years"
8201,"Application, Category A, First quarter"
8202,"Application, Category A, Second quarter"
8203,"Application, Category A, Third quarter"
8204,"Application, Category A, Fourth quarter"
8211,7(a) Business loan program
8212,504 guaranteed loan program
8213,SBIC loan program
8220,504 Commercial Real Estate Refinance Program
8232,Secondary Market Guarantee
